"id","song","which_mistuned","mistuning","file","abs_mistuning","mistuning_direction","dummy_mistuning_direction","ranef_song_dummymistuning_direction","ranef_song_Intercept","linear_predictor_sans_ranef","linear_predictor_with_ranef","discrimination","difficulty_sans_ranef","difficulty_with_ranef","guessing","inattention"
"30","AlexanderRoss_VelvetCurtain","2","80","stim-182.mp3","80","Sharp","1","1.20822","-1.24657","0.92838","0.890034","1.3997","-0.663269","-0.635873","0.5","0.983472"
"31","AlexanderRoss_VelvetCurtain","1","85","stim-183.mp3","85","Sharp","1","1.20822","-1.24657","1.18275","1.1444","1.3997","-0.845","-0.817604","0.5","0.983472"
"32","AlexanderRoss_VelvetCurtain","2","85","stim-184.mp3","85","Sharp","1","1.20822","-1.24657","1.18275","1.1444","1.3997","-0.845","-0.817604","0.5","0.983472"
"33","AlexanderRoss_VelvetCurtain","1","90","stim-185.mp3","90","Sharp","1","1.20822","-1.24657","1.43712","1.39877","1.3997","-1.02673","-0.999334","0.5","0.983472"
"34","AlexanderRoss_VelvetCurtain","2","90","stim-186.mp3","90","Sharp","1","1.20822","-1.24657","1.43712","1.39877","1.3997","-1.02673","-0.999334","0.5","0.983472"
"35","AlexanderRoss_VelvetCurtain","1","95","stim-187.mp3","95","Sharp","1","1.20822","-1.24657","1.69149","1.65314","1.3997","-1.20846","-1.18106","0.5","0.983472"
"36","AlexanderRoss_VelvetCurtain","2","95","stim-188.mp3","95","Sharp","1","1.20822","-1.24657","1.69149","1.65314","1.3997","-1.20846","-1.18106","0.5","0.983472"
"37","AlexanderRoss_VelvetCurtain","1","100","stim-189.mp3","100","Sharp","1","1.20822","-1.24657","1.94586","1.90751","1.3997","-1.39019","-1.3628","0.5","0.983472"
"38","AlexanderRoss_VelvetCurtain","2","100","stim-190.mp3","100","Sharp","1","1.20822","-1.24657","1.94586","1.90751","1.3997","-1.39019","-1.3628","0.5","0.983472"
"39","AlexanderRoss_VelvetCurtain","1","-10","stim-191.mp3","10","Flat","0","1.20822","-1.24657","-2.63278","-3.87935","1.3997","1.88096","2.77155","0.5","0.983472"
"40","AlexanderRoss_VelvetCurtain","2","-10","stim-192.mp3","10","Flat","0","1.20822","-1.24657","-2.63278","-3.87935","1.3997","1.88096","2.77155","0.5","0.983472"
"41","AlexanderRoss_VelvetCurtain","1","-15","stim-193.mp3","15","Flat","0","1.20822","-1.24657","-2.37842","-3.62498","1.3997","1.69923","2.58982","0.5","0.983472"
"42","AlexanderRoss_VelvetCurtain","2","-15","stim-194.mp3","15","Flat","0","1.20822","-1.24657","-2.37842","-3.62498","1.3997","1.69923","2.58982","0.5","0.983472"
"43","AlexanderRoss_VelvetCurtain","1","-20","stim-195.mp3","20","Flat","0","1.20822","-1.24657","-2.12405","-3.37061","1.3997","1.5175","2.40809","0.5","0.983472"
"44","AlexanderRoss_VelvetCurtain","2","-20","stim-196.mp3","20","Flat","0","1.20822","-1.24657","-2.12405","-3.37061","1.3997","1.5175","2.40809","0.5","0.983472"
"45","AlexanderRoss_VelvetCurtain","1","-25","stim-197.mp3","25","Flat","0","1.20822","-1.24657","-1.86968","-3.11624","1.3997","1.33577","2.22636","0.5","0.983472"
"46","AlexanderRoss_VelvetCurtain","2","-25","stim-198.mp3","25","Flat","0","1.20822","-1.24657","-1.86968","-3.11624","1.3997","1.33577","2.22636","0.5","0.983472"
"47","AlexanderRoss_VelvetCurtain","1","-30","stim-199.mp3","30","Flat","0","1.20822","-1.24657","-1.61531","-2.86187","1.3997","1.15404","2.04463","0.5","0.983472"
"48","AlexanderRoss_VelvetCurtain","2","-30","stim-200.mp3","30","Flat","0","1.20822","-1.24657","-1.61531","-2.86187","1.3997","1.15404","2.04463","0.5","0.983472"
"49","AlexanderRoss_VelvetCurtain","1","-35","stim-201.mp3","35","Flat","0","1.20822","-1.24657","-1.36094","-2.60751","1.3997","0.972306","1.8629","0.5","0.983472"
"50","AlexanderRoss_VelvetCurtain","2","-35","stim-202.mp3","35","Flat","0","1.20822","-1.24657","-1.36094","-2.60751","1.3997","0.972306","1.8629","0.5","0.983472"
"51","AlexanderRoss_VelvetCurtain","1","-40","stim-203.mp3","40","Flat","0","1.20822","-1.24657","-1.10657","-2.35314","1.3997","0.790575","1.68117","0.5","0.983472"
"52","AlexanderRoss_VelvetCurtain","2","-40","stim-204.mp3","40","Flat","0","1.20822","-1.24657","-1.10657","-2.35314","1.3997","0.790575","1.68117","0.5","0.983472"
"53","AlexanderRoss_VelvetCurtain","1","-45","stim-205.mp3","45","Flat","0","1.20822","-1.24657","-0.852202","-2.09877","1.3997","0.608845","1.49944","0.5","0.983472"
"54","AlexanderRoss_VelvetCurtain","2","-45","stim-206.mp3","45","Flat","0","1.20822","-1.24657","-0.852202","-2.09877","1.3997","0.608845","1.49944","0.5","0.983472"
"55","AlexanderRoss_VelvetCurtain","1","-50","stim-207.mp3","50","Flat","0","1.20822","-1.24657","-0.597833","-1.8444","1.3997","0.427114","1.31771","0.5","0.983472"
"56","AlexanderRoss_VelvetCurtain","2","-50","stim-208.mp3","50","Flat","0","1.20822","-1.24657","-0.597833","-1.8444","1.3997","0.427114","1.31771","0.5","0.983472"
"57","AlexanderRoss_VelvetCurtain","1","-55","stim-209.mp3","55","Flat","0","1.20822","-1.24657","-0.343464","-1.59003","1.3997","0.245384","1.13598","0.5","0.983472"
"58","AlexanderRoss_VelvetCurtain","2","-55","stim-210.mp3","55","Flat","0","1.20822","-1.24657","-0.343464","-1.59003","1.3997","0.245384","1.13598","0.5","0.983472"
"59","AlexanderRoss_VelvetCurtain","1","-60","stim-211.mp3","60","Flat","0","1.20822","-1.24657","-0.0890955","-1.33566","1.3997","0.0636531","0.954245","0.5","0.983472"
"60","AlexanderRoss_VelvetCurtain","2","-60","stim-212.mp3","60","Flat","0","1.20822","-1.24657","-0.0890955","-1.33566","1.3997","0.0636531","0.954245","0.5","0.983472"
"61","AlexanderRoss_VelvetCurtain","1","-65","stim-213.mp3","65","Flat","0","1.20822","-1.24657","0.165273","-1.08129","1.3997","-0.118077","0.772515","0.5","0.983472"
"62","AlexanderRoss_VelvetCurtain","2","-65","stim-214.mp3","65","Flat","0","1.20822","-1.24657","0.165273","-1.08129","1.3997","-0.118077","0.772515","0.5","0.983472"
"63","AlexanderRoss_VelvetCurtain","1","-70","stim-215.mp3","70","Flat","0","1.20822","-1.24657","0.419642","-0.826923","1.3997","-0.299808","0.590784","0.5","0.983472"
"64","AlexanderRoss_VelvetCurtain","2","-70","stim-216.mp3","70","Flat","0","1.20822","-1.24657","0.419642","-0.826923","1.3997","-0.299808","0.590784","0.5","0.983472"
"65","AlexanderRoss_VelvetCurtain","1","-75","stim-217.mp3","75","Flat","0","1.20822","-1.24657","0.674011","-0.572554","1.3997","-0.481539","0.409054","0.5","0.983472"
"66","AlexanderRoss_VelvetCurtain","2","-75","stim-218.mp3","75","Flat","0","1.20822","-1.24657","0.674011","-0.572554","1.3997","-0.481539","0.409054","0.5","0.983472"
"67","AlexanderRoss_VelvetCurtain","1","-80","stim-219.mp3","80","Flat","0","1.20822","-1.24657","0.92838","-0.318185","1.3997","-0.663269","0.227323","0.5","0.983472"
"68","AlexanderRoss_VelvetCurtain","2","-80","stim-220.mp3","80","Flat","0","1.20822","-1.24657","0.92838","-0.318185","1.3997","-0.663269","0.227323","0.5","0.983472"
"69","AlexanderRoss_VelvetCurtain","1","-85","stim-221.mp3","85","Flat","0","1.20822","-1.24657","1.18275","-0.063816","1.3997","-0.845","0.0455925","0.5","0.983472"
"70","AlexanderRoss_VelvetCurtain","2","-85","stim-222.mp3","85","Flat","0","1.20822","-1.24657","1.18275","-0.063816","1.3997","-0.845","0.0455925","0.5","0.983472"
"71","AlexanderRoss_VelvetCurtain","1","-90","stim-223.mp3","90","Flat","0","1.20822","-1.24657","1.43712","0.190553","1.3997","-1.02673","-0.136138","0.5","0.983472"
"72","AlexanderRoss_VelvetCurtain","2","-90","stim-224.mp3","90","Flat","0","1.20822","-1.24657","1.43712","0.190553","1.3997","-1.02673","-0.136138","0.5","0.983472"
"73","AlexanderRoss_VelvetCurtain","1","-95","stim-225.mp3","95","Flat","0","1.20822","-1.24657","1.69149","0.444922","1.3997","-1.20846","-0.317869","0.5","0.983472"
"74","AlexanderRoss_VelvetCurtain","2","-95","stim-226.mp3","95","Flat","0","1.20822","-1.24657","1.69149","0.444922","1.3997","-1.20846","-0.317869","0.5","0.983472"
"75","AlexanderRoss_VelvetCurtain","1","-100","stim-227.mp3","100","Flat","0","1.20822","-1.24657","1.94586","0.699291","1.3997","-1.39019","-0.499599","0.5","0.983472"
"76","AlexanderRoss_VelvetCurtain","2","-100","stim-228.mp3","100","Flat","0","1.20822","-1.24657","1.94586","0.699291","1.3997","-1.39019","-0.499599","0.5","0.983472"
"77","BrandonWebster_DontHearAThing","1","10","stim-381.mp3","10","Sharp","1","-1.02005","-0.413241","-2.63278","-4.06608","1.3997","1.88096","2.90496","0.5","0.983472"
"78","BrandonWebster_DontHearAThing","2","10","stim-382.mp3","10","Sharp","1","-1.02005","-0.413241","-2.63278","-4.06608","1.3997","1.88096","2.90496","0.5","0.983472"
"79","BrandonWebster_DontHearAThing","1","15","stim-383.mp3","15","Sharp","1","-1.02005","-0.413241","-2.37842","-3.81171","1.3997","1.69923","2.72323","0.5","0.983472"
"80","BrandonWebster_DontHearAThing","2","15","stim-384.mp3","15","Sharp","1","-1.02005","-0.413241","-2.37842","-3.81171","1.3997","1.69923","2.72323","0.5","0.983472"
"81","BrandonWebster_DontHearAThing","1","20","stim-385.mp3","20","Sharp","1","-1.02005","-0.413241","-2.12405","-3.55734","1.3997","1.5175","2.5415","0.5","0.983472"
"82","BrandonWebster_DontHearAThing","2","20","stim-386.mp3","20","Sharp","1","-1.02005","-0.413241","-2.12405","-3.55734","1.3997","1.5175","2.5415","0.5","0.983472"
"83","BrandonWebster_DontHearAThing","1","25","stim-387.mp3","25","Sharp","1","-1.02005","-0.413241","-1.86968","-3.30297","1.3997","1.33577","2.35977","0.5","0.983472"
"84","BrandonWebster_DontHearAThing","2","25","stim-388.mp3","25","Sharp","1","-1.02005","-0.413241","-1.86968","-3.30297","1.3997","1.33577","2.35977","0.5","0.983472"
"85","BrandonWebster_DontHearAThing","1","30","stim-389.mp3","30","Sharp","1","-1.02005","-0.413241","-1.61531","-3.0486","1.3997","1.15404","2.17804","0.5","0.983472"
"86","BrandonWebster_DontHearAThing","2","30","stim-390.mp3","30","Sharp","1","-1.02005","-0.413241","-1.61531","-3.0486","1.3997","1.15404","2.17804","0.5","0.983472"
"87","BrandonWebster_DontHearAThing","1","35","stim-391.mp3","35","Sharp","1","-1.02005","-0.413241","-1.36094","-2.79423","1.3997","0.972306","1.9963","0.5","0.983472"
"88","BrandonWebster_DontHearAThing","2","35","stim-392.mp3","35","Sharp","1","-1.02005","-0.413241","-1.36094","-2.79423","1.3997","0.972306","1.9963","0.5","0.983472"
"89","BrandonWebster_DontHearAThing","1","40","stim-393.mp3","40","Sharp","1","-1.02005","-0.413241","-1.10657","-2.53987","1.3997","0.790575","1.81457","0.5","0.983472"
"90","BrandonWebster_DontHearAThing","2","40","stim-394.mp3","40","Sharp","1","-1.02005","-0.413241","-1.10657","-2.53987","1.3997","0.790575","1.81457","0.5","0.983472"
"91","BrandonWebster_DontHearAThing","1","45","stim-395.mp3","45","Sharp","1","-1.02005","-0.413241","-0.852202","-2.2855","1.3997","0.608845","1.63284","0.5","0.983472"
"92","BrandonWebster_DontHearAThing","2","45","stim-396.mp3","45","Sharp","1","-1.02005","-0.413241","-0.852202","-2.2855","1.3997","0.608845","1.63284","0.5","0.983472"
"93","BrandonWebster_DontHearAThing","1","50","stim-397.mp3","50","Sharp","1","-1.02005","-0.413241","-0.597833","-2.03113","1.3997","0.427114","1.45111","0.5","0.983472"
"94","BrandonWebster_DontHearAThing","2","50","stim-398.mp3","50","Sharp","1","-1.02005","-0.413241","-0.597833","-2.03113","1.3997","0.427114","1.45111","0.5","0.983472"
"95","BrandonWebster_DontHearAThing","1","55","stim-399.mp3","55","Sharp","1","-1.02005","-0.413241","-0.343464","-1.77676","1.3997","0.245384","1.26938","0.5","0.983472"
"96","BrandonWebster_DontHearAThing","2","55","stim-400.mp3","55","Sharp","1","-1.02005","-0.413241","-0.343464","-1.77676","1.3997","0.245384","1.26938","0.5","0.983472"
"97","BrandonWebster_DontHearAThing","1","60","stim-401.mp3","60","Sharp","1","-1.02005","-0.413241","-0.0890955","-1.52239","1.3997","0.0636531","1.08765","0.5","0.983472"
"98","BrandonWebster_DontHearAThing","2","60","stim-402.mp3","60","Sharp","1","-1.02005","-0.413241","-0.0890955","-1.52239","1.3997","0.0636531","1.08765","0.5","0.983472"
"99","BrandonWebster_DontHearAThing","1","65","stim-403.mp3","65","Sharp","1","-1.02005","-0.413241","0.165273","-1.26802","1.3997","-0.118077","0.905921","0.5","0.983472"
"100","BrandonWebster_DontHearAThing","2","65","stim-404.mp3","65","Sharp","1","-1.02005","-0.413241","0.165273","-1.26802","1.3997","-0.118077","0.905921","0.5","0.983472"
"101","BrandonWebster_DontHearAThing","1","70","stim-405.mp3","70","Sharp","1","-1.02005","-0.413241","0.419642","-1.01365","1.3997","-0.299808","0.724191","0.5","0.983472"
"102","BrandonWebster_DontHearAThing","2","70","stim-406.mp3","70","Sharp","1","-1.02005","-0.413241","0.419642","-1.01365","1.3997","-0.299808","0.724191","0.5","0.983472"
"103","BrandonWebster_DontHearAThing","1","75","stim-407.mp3","75","Sharp","1","-1.02005","-0.413241","0.674011","-0.759283","1.3997","-0.481539","0.54246","0.5","0.983472"
"104","BrandonWebster_DontHearAThing","2","75","stim-408.mp3","75","Sharp","1","-1.02005","-0.413241","0.674011","-0.759283","1.3997","-0.481539","0.54246","0.5","0.983472"
"105","BrandonWebster_DontHearAThing","1","80","stim-409.mp3","80","Sharp","1","-1.02005","-0.413241","0.92838","-0.504914","1.3997","-0.663269","0.360729","0.5","0.983472"
"106","BrandonWebster_DontHearAThing","2","80","stim-410.mp3","80","Sharp","1","-1.02005","-0.413241","0.92838","-0.504914","1.3997","-0.663269","0.360729","0.5","0.983472"
"107","BrandonWebster_DontHearAThing","1","85","stim-411.mp3","85","Sharp","1","-1.02005","-0.413241","1.18275","-0.250545","1.3997","-0.845","0.178999","0.5","0.983472"
"108","BrandonWebster_DontHearAThing","2","85","stim-412.mp3","85","Sharp","1","-1.02005","-0.413241","1.18275","-0.250545","1.3997","-0.845","0.178999","0.5","0.983472"
"109","BrandonWebster_DontHearAThing","1","90","stim-413.mp3","90","Sharp","1","-1.02005","-0.413241","1.43712","0.00382349","1.3997","-1.02673","-0.00273165","0.5","0.983472"
"110","BrandonWebster_DontHearAThing","2","90","stim-414.mp3","90","Sharp","1","-1.02005","-0.413241","1.43712","0.00382349","1.3997","-1.02673","-0.00273165","0.5","0.983472"
"111","BrandonWebster_DontHearAThing","1","95","stim-415.mp3","95","Sharp","1","-1.02005","-0.413241","1.69149","0.258192","1.3997","-1.20846","-0.184462","0.5","0.983472"
"112","BrandonWebster_DontHearAThing","2","95","stim-416.mp3","95","Sharp","1","-1.02005","-0.413241","1.69149","0.258192","1.3997","-1.20846","-0.184462","0.5","0.983472"
"113","BrandonWebster_DontHearAThing","1","100","stim-417.mp3","100","Sharp","1","-1.02005","-0.413241","1.94586","0.512561","1.3997","-1.39019","-0.366193","0.5","0.983472"
"114","BrandonWebster_DontHearAThing","2","100","stim-418.mp3","100","Sharp","1","-1.02005","-0.413241","1.94586","0.512561","1.3997","-1.39019","-0.366193","0.5","0.983472"
"115","BrandonWebster_DontHearAThing","1","-10","stim-419.mp3","10","Flat","0","-1.02005","-0.413241","-2.63278","-3.04603","1.3997","1.88096","2.17619","0.5","0.983472"
"116","BrandonWebster_DontHearAThing","2","-10","stim-420.mp3","10","Flat","0","-1.02005","-0.413241","-2.63278","-3.04603","1.3997","1.88096","2.17619","0.5","0.983472"
"117","BrandonWebster_DontHearAThing","1","-15","stim-421.mp3","15","Flat","0","-1.02005","-0.413241","-2.37842","-2.79166","1.3997","1.69923","1.99446","0.5","0.983472"
"118","BrandonWebster_DontHearAThing","2","-15","stim-422.mp3","15","Flat","0","-1.02005","-0.413241","-2.37842","-2.79166","1.3997","1.69923","1.99446","0.5","0.983472"
"119","BrandonWebster_DontHearAThing","1","-20","stim-423.mp3","20","Flat","0","-1.02005","-0.413241","-2.12405","-2.53729","1.3997","1.5175","1.81273","0.5","0.983472"
"120","BrandonWebster_DontHearAThing","2","-20","stim-424.mp3","20","Flat","0","-1.02005","-0.413241","-2.12405","-2.53729","1.3997","1.5175","1.81273","0.5","0.983472"
"121","BrandonWebster_DontHearAThing","1","-25","stim-425.mp3","25","Flat","0","-1.02005","-0.413241","-1.86968","-2.28292","1.3997","1.33577","1.631","0.5","0.983472"
"122","BrandonWebster_DontHearAThing","2","-25","stim-426.mp3","25","Flat","0","-1.02005","-0.413241","-1.86968","-2.28292","1.3997","1.33577","1.631","0.5","0.983472"
"123","BrandonWebster_DontHearAThing","1","-30","stim-427.mp3","30","Flat","0","-1.02005","-0.413241","-1.61531","-2.02855","1.3997","1.15404","1.44927","0.5","0.983472"
"124","BrandonWebster_DontHearAThing","2","-30","stim-428.mp3","30","Flat","0","-1.02005","-0.413241","-1.61531","-2.02855","1.3997","1.15404","1.44927","0.5","0.983472"
"125","BrandonWebster_DontHearAThing","1","-35","stim-429.mp3","35","Flat","0","-1.02005","-0.413241","-1.36094","-1.77418","1.3997","0.972306","1.26754","0.5","0.983472"
"126","BrandonWebster_DontHearAThing","2","-35","stim-430.mp3","35","Flat","0","-1.02005","-0.413241","-1.36094","-1.77418","1.3997","0.972306","1.26754","0.5","0.983472"
"127","BrandonWebster_DontHearAThing","1","-40","stim-431.mp3","40","Flat","0","-1.02005","-0.413241","-1.10657","-1.51981","1.3997","0.790575","1.08581","0.5","0.983472"
"128","BrandonWebster_DontHearAThing","2","-40","stim-432.mp3","40","Flat","0","-1.02005","-0.413241","-1.10657","-1.51981","1.3997","0.790575","1.08581","0.5","0.983472"
"129","BrandonWebster_DontHearAThing","1","-45","stim-433.mp3","45","Flat","0","-1.02005","-0.413241","-0.852202","-1.26544","1.3997","0.608845","0.904079","0.5","0.983472"
